Club,Goal_Difference,Points,Position,Season
Liverpool,41,60,1,18/19
Man City,45,56,2,18/19
Spurs,25,51,3,18/19
Chelsea,21,47,4,18/19
Arsenal,16,44,5,18/19
Man Utd,13,44,6,18/19
Watford,0,33,7,18/19
Wolves,-4,32,8,18/19
Leicester,0,31,9,18/19
West Ham,-4,31,10,18/19
Everton,1,30,11,18/19
Bournemouth,-9,30,12,18/19
Brighton,-7,26,13,18/19
Crystal Palace,-9,22,14,18/19
Southampton,-15,22,15,18/19
Burnley,-20,22,16,18/19
Newcastle,-12,21,17,18/19
Cardiff,-25,19,18,18/19
Fulham,-30,14,19,18/19
Huddersfield,-27,11,20,18/19
Man City,79,100,1,17/18
Man Utd,40,81,2,17/18
Spurs,38,77,3,17/18
Liverpool,46,75,4,17/18
Chelsea,24,70,5,17/18
Arsenal,23,63,6,17/18
Burnley,-3,54,7,17/18
Everton,-14,49,8,17/18
Leicester,-4,47,9,17/18
Newcastle,-8,44,10,17/18
Crystal Palace,-10,44,11,17/18
Bournemouth,-16,44,12,17/18
West Ham,-20,42,13,17/18
Watford,-20,41,14,17/18
Brighton,-20,40,15,17/18
Huddersfield,-30,37,16,17/18
Southampton,-19,36,17,17/18
Swansea,-28,33,18,17/18
Stoke City,-33,33,19,17/18
West Brom,-25,31,20,17/18
Chelsea,52,93,1,16/17
Spurs,60,86,2,16/17
Man City,41,78,3,16/17
Liverpool,36,76,4,16/17
Arsenal,33,75,5,16/17
Man Utd,25,69,6,16/17
Everton,18,61,7,16/17
Southampton,-7,46,8,16/17
Bournemouth,-12,46,9,16/17
West Brom,-8,45,10,16/17
West Ham,-17,45,11,16/17
Leicester,-15,44,12,16/17
Stoke City,-15,44,13,16/17
Crystal Palace,-13,41,14,16/17
Swansea,-25,41,15,16/17
Burnley,-16,40,16,16/17
Watford,-28,40,17,16/17
Hull City,-43,34,18,16/17
Middlesbrough,-26,28,19,16/17
Sunderland,-40,24,20,16/17
Leicester,32,81,1,15/16
Arsenal,29,71,2,15/16
Spurs,34,70,3,15/16
Man City,30,66,4,15/16
Man Utd,14,66,5,15/16
Southampton,18,63,6,15/16
West Ham,14,62,7,15/16
Liverpool,13,60,8,15/16
Stoke City,-14,51,9,15/16
Chelsea,6,50,10,15/16
Everton,4,47,11,15/16
Swansea,-10,47,12,15/16
