Club,Goal_Difference,Points,Position,Season
Liverpool,41,60,1,18/19
Man City,45,56,2,18/19
Spurs,25,51,3,18/19
Chelsea,21,47,4,18/19
Arsenal,16,44,5,18/19
Man Utd,13,44,6,18/19
Watford,0,33,7,18/19
Wolves,-4,32,8,18/19
Leicester,0,31,9,18/19
West Ham,-4,31,10,18/19
Everton,1,30,11,18/19
Bournemouth,-9,30,12,18/19
Brighton,-7,26,13,18/19
Crystal Palace,-9,22,14,18/19
Southampton,-15,22,15,18/19
Burnley,-20,22,16,18/19
Newcastle,-12,21,17,18/19
Cardiff,-25,19,18,18/19
Fulham,-30,14,19,18/19
Huddersfield,-27,11,20,18/19
Man City,79,100,1,17/18
Man Utd,40,81,2,17/18
Spurs,38,77,3,17/18
Liverpool,46,75,4,17/18
Chelsea,24,70,5,17/18
Arsenal,23,63,6,17/18
Burnley,-3,54,7,17/18
Everton,-14,49,8,17/18
Leicester,-4,47,9,17/18
Newcastle,-8,44,10,17/18
Crystal Palace,-10,44,11,17/18
Bournemouth,-16,44,12,17/18
West Ham,-20,42,13,17/18
Watford,-20,41,14,17/18
Brighton,-20,40,15,17/18
Huddersfield,-30,37,16,17/18
Southampton,-19,36,17,17/18
Swansea,-28,33,18,17/18
Stoke City,-33,33,19,17/18
West Brom,-25,31,20,17/18
